name,t90,fluence,flux_1024
GRB130420422,  27.328,0.0000037707,  5.3840
GRB081226044,   0.832,0.0000004303,  2.3199
GRB171024977,  35.072,0.00000094493,  1.1591
GRB180804765,  21.504,0.0000035109,  5.0195
GRB090411838,  21.501,0.0000066659,  5.2396
GRB200411187,   1.440,0.00000065833,  2.3099
GRB160716144,  28.928,0.0000028781,  3.1553
GRB210126417,  61.441,0.0000039751,  3.4203
GRB090719063,  11.392,0.000046848, 37.8130
GRB180906759,  13.309,0.0000036221,  6.7234
GRB201229639,  77.826,0.000012738,  7.5415
GRB100605774,   8.192,0.00000075654,  1.9399
GRB110316139,   2.944,0.00000011497,  1.3288
GRB191220589,  27.905,0.000018048,  9.3636
GRB200714774,  20.736,0.0000071563, 11.1262
GRB081006604,   6.400,0.00000083329,  1.4639
GRB090524346,  54.337,0.000016588, 12.9725
GRB150404733,   4.864,0.00000061093,  3.2063
GRB100719311,   1.600,0.00000038679,  1.9031
GRB090819607,   0.192,0.00000027212,  1.0518
GRB180703876,  20.736,0.000016251, 11.3138
GRB131118958,  85.249,0.00006754, 12.5062
GRB170323775,  35.328,0.0000037589,  2.7039
GRB181128751,  17.664,0.0000015219,  3.1973
GRB181208188,  62.465,0.0000081001,  3.3359
GRB200130417,  11.293,0.000011459, 33.6438
GRB111107035,  12.032,0.0000009073,  2.2767
GRB190420981,   1.472,0.0000006538,  3.4127
GRB151003729,  44.032,0.0000013475,  2.0476
GRB201128746,  11.264,0.00000078156,  1.9271
GRB200206706,  13.824,0.00000059706,  1.2748
GRB200505994,   9.984,0.0000024803,  6.9496
GRB090926181,  13.760,0.00014657, 81.4455
GRB150628767,   0.640,0.00000026488,  1.9208
GRB120919816,  20.480,0.0000011356,  3.1364
GRB101011707,  36.352,0.0000027101,  2.7696
GRB090625560,  13.056,0.0000023679,  3.6848
GRB160303971,  27.136,0.0000013771,  1.9650
GRB120426090,   2.688,0.000021049, 82.3035
GRB130727698,  12.992,0.0000081625, 11.1274
GRB101023951,  76.801,0.000063694, 36.7382
GRB170827818,   0.832,0.00000047114,  3.2136
GRB181022846,  13.824,0.00000076459,  2.9859
GRB161105417,  41.473,0.0000095415,  8.2564
GRB201217108,  37.121,0.0000057309,  5.0664
GRB191118925,  36.353,0.000010375,  4.5698
GRB200705674,  16.128,0.0000012876,  1.7566
GRB170210116,  76.545,0.000096107, 31.2721
GRB090924625,   0.352,0.00000055461,  1.4781
GRB090602564,  20.736,0.0000027923,  2.5067
GRB180528371,  16.896,0.00000071911,  1.6141
GRB110411629,  23.552,0.0000035843,  4.8006
GRB210317381,  46.337,0.000020325, 17.8568
GRB210113379,  38.400,0.0000024318,  2.7788
GRB130722021,  81.408,0.0000014798,  1.1743
GRB150826557,  33.024,0.0000037751,  3.4636
GRB190903722,   0.272,0.00000044683,  3.0110
GRB190804058,   4.224,0.00000044761,  3.0802
GRB120921877,   5.632,0.0000024783, 10.3248
GRB200228291,   3.584,0.0000069265, 20.4143
GRB181231359,   3.072,0.00000041336,  3.4185
GRB170126480,  13.824,0.0000085363, 12.3072
GRB090711850,  51.969,0.0000057921,  3.5953
GRB180113418,  24.576,0.00016311, 54.4537
GRB091017985,  44.800,0.0000021468,  2.1282
GRB081225257,  41.217,0.0000067467,  2.1508
GRB191101895,  10.496,0.00000096551,  3.3909
GRB200317028,   7.616,0.0000046594, 15.9301
GRB210211363,  28.673,0.0000010622,  1.8219
GRB101213849,   5.120,0.0000012894,  5.9108
GRB150805445,  45.825,0.0000061044,  3.7658
GRB181128129,   1.728,0.00000027689,  1.9249
GRB190407575,  58.880,0.0000021343,  3.3399
GRB200612201, 984.084,0.000067306,  4.2892
GRB140612294,  38.913,0.0000041045,  2.7098
GRB151117442,  58.561,0.0000087776,  6.1290
GRB150204272,  11.008,0.0000019351,  3.1908
